City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-7.06,82,15,4.46,GS,1691461834
1,colon,9.3592,-79.9014,23.84,91,100,1.34,PA,1691461834
2,afaahiti,-17.75,-149.2833,27.93,79,88,5.28,PF,1691461835
3,manggar,-2.8833,108.2667,28.89,70,35,7.18,ID,1691461836
4,ilulissat,69.2167,-51.1,7.01,65,20,0.0,GL,1691461836
5,santa rita,-7.1139,-34.9781,24.37,88,20,2.06,BR,1691461837
6,makurdi,7.7411,8.5121,22.43,97,98,2.41,NG,1691461837
7,port-aux-francais,-49.35,70.2167,2.75,76,30,16.38,TF,1691461838
8,carnarvon,-24.8667,113.6333,23.37,62,77,2.21,AU,1691461838
9,port mathurin,-19.6833,63.4167,22.34,66,32,10.53,MU,1691461838
10,talnakh,69.4865,88.3972,18.45,54,100,2.1,RU,1691461839
11,qaqortoq,60.7167,-46.0333,4.91,88,4,1.27,GL,1691461839
12,amahai,-3.3333,128.9167,26.45,78,95,5.24,ID,1691461839
13,yreka,41.7354,-122.6345,29.1,27,0,7.72,US,1691461840
14,edinburgh of the seven seas,-37.0676,-12.3116,14.49,78,79,18.67,SH,1691461840
15,bethel,41.3712,-73.414,24.45,87,100,3.09,US,1691461741
16,yellowknife,62.456,-114.3525,17.29,55,75,1.54,CA,1691461842
17,saint-francois,46.4154,3.9054,8.69,100,0,1.03,FR,1691461843
18,castillos,-34.1667,-53.8333,7.46,82,0,3.16,UY,1691461844
19,dunedin,-45.8742,170.5036,8.22,60,99,6.71,NZ,1691461844
20,waitangi,-43.9535,-176.5597,10.46,79,100,1.34,NZ,1691461844
21,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,40,0,2.0,RU,1691461618
22,zouerate,22.7187,-12.4521,25.6,44,2,5.26,MR,1691461845
23,utrik,11.2278,169.8474,28.43,75,53,8.95,MH,1691461845
24,puerto natales,-51.7236,-72.4875,-0.67,88,100,0.86,CL,1691461845
25,kodiak,57.79,-152.4072,14.73,88,100,2.57,US,1691461845
26,carutapera,-1.195,-46.02,24.74,91,34,2.75,BR,1691461846
27,udachny,66.4167,112.4,21.36,39,97,3.97,RU,1691461846
28,vilyuchinsk,52.9306,158.4028,23.15,54,4,3.47,RU,1691461846
29,birur,13.6167,75.9667,23.28,74,100,3.63,IN,1691461847
30,puerto ayora,-0.7393,-90.3518,24.19,88,100,3.13,EC,1691461847
31,cabedelo,-6.9811,-34.8339,24.37,85,17,5.43,BR,1691461815
32,victorica,-36.2151,-65.4359,7.19,48,96,7.79,AR,1691461847
33,crane,31.3974,-102.3501,33.35,27,0,8.32,US,1691461848
34,fort bragg,35.139,-79.006,23.44,94,75,4.12,US,1691461848
35,pelotas,-31.7719,-52.3425,10.48,89,2,1.79,BR,1691461848
36,babayevo,59.3936,35.9371,20.3,76,0,5.1,RU,1691461848
37,thompson,55.7435,-97.8558,15.09,77,75,2.57,CA,1691461849
38,raduzhny,62.0961,77.475,19.0,55,12,3.55,RU,1691461849
39,iqaluit,63.7506,-68.5145,6.85,87,75,2.57,CA,1691461850
40,ledbury,52.0364,-2.4263,13.07,90,79,1.65,GB,1691461851
41,vorgashor,67.5833,63.95,13.39,77,95,5.41,RU,1691461851
42,invercargill,-46.4,168.35,7.79,76,83,4.47,NZ,1691461851
43,khandyga,62.6667,135.6,21.85,28,88,2.34,RU,1691461851
44,port isabel,26.0734,-97.2086,30.05,80,0,6.17,US,1691461852
45,sisimiut,66.9395,-53.6735,6.63,74,60,0.31,GL,1691461853
46,lompoc,34.6391,-120.4579,23.9,92,100,1.34,US,1691461854
47,port-cartier,50.0334,-66.8654,16.12,78,100,2.91,CA,1691461854
48,adamstown,-25.066,-130.1015,21.09,76,45,5.13,PN,1691461855
49,papatowai,-46.5619,169.4708,6.43,72,82,7.47,NZ,1691461855
50,tazovsky,67.4667,78.7,16.5,65,4,1.82,RU,1691461856
51,uturoa,-16.7333,-151.4333,25.9,72,82,2.54,PF,1691461856
52,nagqu,31.5,92.0,10.92,71,100,1.92,CN,1691461856
53,rongelap,11.1635,166.8941,28.72,76,98,7.71,MH,1691461856
54,pundong,-7.9522,110.3486,28.06,62,2,4.54,ID,1691461857
55,hun,29.1268,15.9477,23.26,59,0,3.15,LY,1691461857
56,kapuskasing,49.4169,-82.4331,19.05,77,75,2.57,CA,1691461857
57,praia da vitoria,38.7333,-27.0667,22.09,94,40,0.91,PT,1691461858
58,ushuaia,-54.8,-68.3,1.81,80,0,1.54,AR,1691461859
59,blackmans bay,-43.0167,147.3167,13.18,64,10,1.16,AU,1691461859
60,nizhniy odes,63.6445,54.856,13.73,71,17,3.92,RU,1691461859
61,mumbwa,-14.9783,27.0619,13.65,67,17,2.02,ZM,1691461860
62,severo-yeniseyskiy,60.3725,93.0408,15.34,70,95,2.19,RU,1691461860
63,aasiaat,68.7098,-52.8699,0.22,85,15,1.21,GL,1691461860
64,beau vallon,-20.4189,57.6953,22.13,68,75,6.17,MU,1691461861
65,bredasdorp,-34.5322,20.0403,10.55,92,2,2.85,ZA,1691461862
66,lihue,21.9789,-159.3672,29.77,72,40,8.75,US,1691461862
67,novohrad-volynskyi,50.5941,27.6165,11.22,98,26,3.64,UA,1691461862
68,ambodifotatra,-16.9833,49.85,22.4,76,53,3.48,MG,1691461864
69,san buenaventura,27.0833,-101.5333,37.49,23,0,3.59,MX,1691461864
70,grand baie,-20.0182,57.5802,22.26,74,50,0.45,MU,1691461865
71,siwa oasis,29.2041,25.5195,27.3,56,0,3.09,EG,1691461865
72,farasan,16.7022,42.1183,31.18,72,92,4.25,SA,1691461867
73,gangakher,18.95,76.75,25.97,73,95,6.23,IN,1691461867
74,greenland,43.0362,-70.8328,21.49,84,100,6.17,US,1691461867
75,west island,-12.1568,96.8225,26.99,78,40,5.14,CC,1691461868
76,sitka,57.0531,-135.33,17.94,68,100,5.14,US,1691461868
77,flying fish cove,-10.4217,105.6791,25.82,83,75,6.17,CX,1691461868
78,anadyr,64.75,177.4833,13.28,76,75,6.0,RU,1691461869
79,badger,64.8,-147.5333,23.06,59,100,1.54,US,1691461869
80,kosh-agach,50.0,88.6667,16.36,59,36,0.63,RU,1691461869
81,jijiga,9.35,42.8,15.51,82,25,5.6,ET,1691461870
82,bilibino,68.0546,166.4372,10.12,58,81,0.54,RU,1691461870
83,mermoz boabab,14.7065,-17.4758,26.88,78,40,5.14,SN,1691461871
84,sholokhovskiy,48.2807,41.0459,23.71,53,0,4.27,RU,1691461871
85,tazacorte,28.629,-17.9293,21.54,85,0,2.68,ES,1691461872
86,thunder bay,48.4001,-89.3168,19.99,60,20,2.06,CA,1691461865
87,presidente medici,-11.1753,-61.9014,27.45,40,71,0.88,BR,1691461873
88,noumea,-22.2763,166.4572,22.99,75,95,6.63,NC,1691461857
89,lubang,13.8584,120.124,28.48,82,69,8.37,PH,1691461873
90,fale old settlement,-9.3852,-171.2468,28.25,68,17,6.03,TK,1691461873
91,punta arenas,-53.15,-70.9167,2.01,66,100,3.41,CL,1691461874
92,st. john's,47.5649,-52.7093,14.82,91,100,9.26,CA,1691461577
93,lupane,-18.9315,27.807,10.21,58,8,2.45,ZW,1691461874
94,olonkinbyen,70.9221,-8.7187,4.18,79,100,1.84,SJ,1691461875
95,lerwick,60.1545,-1.1494,8.0,72,73,6.66,GB,1691461875
96,kara suu,40.7046,72.8667,22.98,60,20,2.0,KG,1691461875
97,hermanus,-34.4187,19.2345,12.67,90,55,3.55,ZA,1691461875
98,lorengau,-2.0226,147.2712,28.92,71,52,7.14,PG,1691461876
99,malabar,-33.9667,151.25,19.84,63,40,3.09,AU,1691461876
100,oranjemund,-28.55,16.4333,11.92,97,36,3.12,NA,1691461876
101,tafuna,-14.3358,-170.72,29.97,79,20,4.12,AS,1691461877
102,alofi,-19.0595,-169.9187,24.94,88,75,3.6,NU,1691461877
103,zhezqazghan,47.7833,67.7667,19.32,82,75,3.0,KZ,1691461878
104,stanley,54.868,-1.6985,9.94,90,0,4.12,GB,1691461879
105,port elizabeth,-33.918,25.5701,13.16,94,0,4.63,ZA,1691461680
106,weyburn,49.6668,-103.8511,25.12,25,24,0.51,CA,1691461810
107,codrington,-38.2667,141.9667,13.72,62,0,3.33,AU,1691461879
108,nyaungdon,17.0333,95.65,26.03,86,100,4.48,MM,1691461880
109,santiago de cao,-7.9589,-79.2392,22.07,83,78,2.57,PE,1691461881
110,cambria,35.5641,-121.0808,28.41,95,38,1.79,US,1691461881
111,yarmouth,41.7057,-70.2286,23.34,92,75,4.12,US,1691461881
112,ribeira grande,38.5167,-28.7,20.99,82,3,3.58,PT,1691461882
113,argo,37.6333,22.7333,24.88,62,0,2.15,GR,1691461882
114,scarborough,54.2797,-0.4044,12.1,88,11,0.89,GB,1691461882
115,okhotsk,59.3833,143.3,15.88,47,88,2.3,RU,1691461882
116,ketchikan,55.3422,-131.6461,16.26,88,100,9.77,US,1691461594
